2025-12-19 00:57:10,101 [INFO] ArvynConfig: Configuration loaded. Logging initialized.
2025-12-19 00:57:10,101 [INFO] ArvynConfig: Gemini API Key loaded successfully.
2025-12-19 01:35:32,495 | ArvynCore | INFO | ArvynBrain initialized with model: gemini-3-pro-preview
2025-12-19 01:35:32,658 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013291a0 at 1dd02b128c0>
2025-12-19 01:35:32,660 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b13240>
2025-12-19 01:35:32,660 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329408 at 1dd02b12240>
2025-12-19 01:35:32,660 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd0131b868 at 1dd02b12740>
2025-12-19 01:35:32,660 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013293b0 at 1dd02b11d40>
2025-12-19 01:35:32,660 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b11740>
2025-12-19 01:35:32,661 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329358 at 1dd02b11c40>
2025-12-19 01:35:32,661 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329408 at 1dd02b11b40>
2025-12-19 01:35:32,661 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b12a40>
2025-12-19 01:35:32,661 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329510 at 1dd02b124c0>
2025-12-19 01:35:32,661 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013293b0 at 1dd02b12840>
2025-12-19 01:35:32,661 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013294b8 at 1dd02b11d40>
2025-12-19 01:35:32,661 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b11c40>
2025-12-19 01:35:32,662 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329460 at 1dd02b11cc0>
2025-12-19 01:35:32,662 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329510 at 1dd02b11740>
2025-12-19 01:35:32,662 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013293b0 at 1dd02b12740>
2025-12-19 01:35:32,662 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013295c0 at 1dd02b11d40>
2025-12-19 01:35:32,663 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b11cc0>
2025-12-19 01:35:32,663 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329568 at 1dd02b11b40>
2025-12-19 01:35:32,663 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013293b0 at 1dd02b13240>
2025-12-19 01:35:32,663 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329670 at 1dd02b11d40>
2025-12-19 01:35:32,663 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b11740>
